CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
RAe1,60.0,30.0,30,,,,"10 min Z1
3 × (10 min Z2/3 min Z1)
11 min Z1
"
RAe10,105.0,60.0,45,,,,"10 min Z1
3 × (15 min Z2/5 min Z1)
35 min Z1
"
RAe11,120.0,75.0,45,,,,"10 min Z1
3 × (15 min Z2/5 min Z1)
50 min Z1
"
RAe12,135.0,90.0,45,,,,"10 min Z1
3 × (15 min Z2/5 min Z1)
65 min Z1
"
RAe13,150.0,105.0,45,,,,"10 min Z1
3 × (15 min Z2/5 min Z1)
80 min Z1
"
RAe14,120.0,13.0,107,,,,"10 min Z1
3 × (4 min Z2/1 min Z1)
95 min Z2
"
RAe15,130.0,13.0,117,,,,"10 min Z1
3 × (5 min Z2/1 min Z1)
102 min Z2
"
RAe16,140.0,13.0,127,,,,"10 min Z1
3 × (6 min Z2/1 min Z1)
109 min Z2
"
RAe17,150.0,13.0,137,,,,"10 min Z1
3 × (7 min Z2/1 min Z1)
116 min Z2
"
RAe18,160.0,13.0,147,,,,"10 min Z1
3 × (8 min Z2/1 min Z1)
123 min Z2
"
RAe19,170.0,13.0,157,,,,"10 min Z1
3 × (9 min Z2/1 min Z1)
130 min Z2
"
RAe2,90.0,60.0,30,,,,"15 min Z1
3 × (10 min Z2/3 min Z1)
36 min Z1
"
RAe20,180.0,13.0,167,,,,"10 min Z1
3 × (10 min Z2/1 min Z1)
137 min Z2
"
RAe21,165.0,14.0,151,,,,"10 min Z1
4 × (15 min Z2/1 min Z1)
90 min Z2
"
RAe22,46.0,16.0,30,,,,"10 min Z1
3 × (10 min Z2/2 min Z1)
"
RAe3,75.0,35.0,40,,,,"12 min Z1
4 × (10 min Z2/3 min Z1)
11 min Z1
"
RAe4,90.0,45.0,45,,,,"15 min Z1
3 × (15 min Z2/5 min Z1)
15 min Z1
"
RAe5,90.0,30.0,60,,,,"10 min Z1
4 × (15 min Z2/5 min Z1)
"
RAe6,105.0,45.0,60,,,,"10 min Z1
4 × (15 min Z2/5 min Z1)
15 min Z1
"
RAe7,120.0,60.0,60,,,,"10 min Z1
4 × (15 min Z2/5 min Z1)
30 min Z1
"
RAe8,135.0,75.0,60,,,,"10 min Z1
4 × (15 min Z2/5 min Z1)
45 min Z1
"
