CODE,DISTANCE,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
SAe1,2500,500,2000,,,,"250 Z1 4 × (500 Z2/60"" rest) 250 Z1"
SAe2,3000,500,2500,,,,"250 Z1 5 × (500 Z2/60"" rest) 250 Z1"
SAe3,3500,500,3000,,,,"250 Z1 6 × (500 Z2/60"" rest) 250 Z1"
SAe4,3500,500,3000,,,,"250 Z1 3 × (1000 Z2/60"" rest) 250 Z1"
SAe5,3800,300,3500,,,,"150 Z1 7 × (500 Z2/60"" rest) 150 Z1"
SAe6,4500,500,4000,,,,"250 Z1 4 × (1000 Z2/60"" rest) 250 Z1"
SAe7,2000,500,1500,,,,"250 Z1 3 × (500 Z2/60"" rest) 250 Z1"
SCI1,1500,1000,,500,,,"500 Z1 5 x (100 Z3/15"" rest) 500 Z1"
SCI10,3000,1000,,2000,,,"500 Z1 10 x (200 Z3/15"" rest) 500 Z1"
SCI11,1900,1000,,900,,,"500 Z1 3 x (300 Z3/15"" rest) 500 Z1"
SCI12,2500,1000,,1500,,,"500 Z1 5 x (300 Z3/15"" rest) 500 Z1"
SCI13,3500,1000,1000,1500,,,"500 Z1 500 Z2 5 x (300 Z3/15"" rest) 500 Z2 500 Z1"
SCI14,1200,600,,600,,,"300 Z1 3 x (200 Z3/15"" rest) 300 Z1"
SCI15,1500,600,,900,,,"300 Z1 3 x (300 Z3/15"" rest) 300 Z1"
SCI16,1750,750,,1000,,,"500 Z1 5 x (200 Z3/15"" rest) 250 Z1"
SCI17,1500,300,,1200,,,"150 Z1 6 x (200 Z3/15"" rest) 150 Z1"
SCI2,2000,1000,500,500,,,"500 Z1 5 x (100 Z3/15"" rest) 500 Z2 500 Z1"
SCI3,2500,1000,1000,500,,,"500 Z1 500 Z2 5 x (100 Z3/15"" rest) 500 Z2 500 Z1"
SCI4,1500,500,,1000,,,"250 Z1 10 x (100 Z3/15"" rest) 250 Z1"
SCI5,2000,500,500,1000,,,"250 Z1 10 x (100 Z3/15"" rest) 500 Z2 250 Z1"
